mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24775114059448242,0.016843525937209138,0.023874711990356446,0.0016027033898147918,2,3,0.3,gini,3,3,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.2356032371520996,0.009936414219305594,0.026354360580444335,0.0012182123357787121,2,3,0.3,gini,3,3,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.24354906082153321,0.012388859516419885,0.026071882247924803,0.002522495877166764,2,3,0.3,gini,3,4,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 4}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.2354196548461914,0.0049517517539889875,0.025805044174194335,0.002533699945753954,2,3,0.3,gini,3,4,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.49983463287353513,0.501929248665879,0.026116037368774415,0.0029590117100519327,2,3,0.3,gini,3,5,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 4}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.2608767509460449,0.010083378738154203,0.02946476936340332,0.0015515180978418327,2,3,0.3,gini,3,5,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 5}",0.47067238912732473,0.4469914040114613,0.5071633237822349,0.4670487106017192,0.4799426934097421,0.4743637041864964,0.01961284232976889,61
0.2919172763824463,0.00997126735088137,0.02394833564758301,0.0009107337768424993,2,3,0.3,gini,4,3,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",0.3948497854077253,0.4369627507163324,0.43123209169054444,0.3825214899713467,0.40974212034383956,0.4110616476259577,0.020769305153721895,263
0.27447876930236814,0.004622604591843541,0.022673606872558594,0.001167707706145539,2,3,0.3,gini,4,3,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",0.3948497854077253,0.4369627507163324,0.43123209169054444,0.3825214899713467,0.40974212034383956,0.4110616476259577,0.020769305153721895,263
0.28121089935302734,0.014049275724903183,0.023955535888671876,0.0012658152055349246,2,3,0.3,gini,4,4,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 4}",0.3948497854077253,0.4369627507163324,0.43123209169054444,0.3825214899713467,0.40974212034383956,0.4110616476259577,0.020769305153721895,263
0.27211885452270507,0.007621911106141398,0.02190251350402832,0.0004553527075198803,2,3,0.3,gini,4,4,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5}",0.3948497854077253,0.4369627507163324,0.43123209169054444,0.3825214899713467,0.40974212034383956,0.4110616476259577,0.020769305153721895,263
0.2636429786682129,0.012428313027541053,0.022737407684326173,0.0012779557220488746,2,3,0.3,gini,4,5,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 4}",0.3948497854077253,0.4369627507163324,0.43123209169054444,0.3825214899713467,0.40974212034383956,0.4110616476259577,0.020769305153721895,263
