mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__max_iter,param_lr__penalty,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08558073043823242,0.007539573934163625,0.0,0.0,0.01,500,elasticnet,2,3,0.5,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.08400721549987793,0.002704216463043334,0.0,0.0,0.01,500,elasticnet,2,5,0.3,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.09400014877319336,0.004391076761296491,0.0,0.0,0.01,500,elasticnet,2,5,0.5,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.1535799026489258,0.015335761397750535,0.0,0.0,0.01,500,elasticnet,3,3,0.3,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.1389981746673584,0.005484572303452005,0.0,0.0,0.01,500,elasticnet,3,3,0.5,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.13565587997436523,0.006839147826671081,0.0,0.0,0.01,500,elasticnet,3,5,0.3,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.162504243850708,0.022055437098070257,0.0,0.0,0.01,500,elasticnet,3,5,0.5,"{'lr__C': 0.01, 'lr__max_iter': 500, 'lr__penalty': 'elasticnet', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.0902327060699463,0.004357705454044897,0.0,0.0,0.01,1000,l1,2,3,0.3,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.3340764999389648,0.4730802921359155,0.0,0.0,0.01,1000,l1,2,3,0.5,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.08978900909423829,0.0027105722449042116,0.0,0.0,0.01,1000,l1,2,5,0.3,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.09200754165649414,0.002931472928422611,0.0,0.0,0.01,1000,l1,2,5,0.5,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.1377863883972168,0.019654190254967816,0.0,0.0,0.01,1000,l1,3,3,0.3,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.1375497817993164,0.007278472837348419,0.0,0.0,0.01,1000,l1,3,3,0.5,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",,,,,,,,49
0.13265280723571776,0.006400234001340224,0.0,0.0,0.01,1000,l1,3,5,0.3,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",,,,,,,,49
0.14914312362670898,0.013144232473458264,0.0,0.0,0.01,1000,l1,3,5,0.5,"{'lr__C': 0.01, 'lr__max_iter': 1000, 'lr__penalty': 'l1', 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",,,,,,,,49
