mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18.350630664825438,1.1090083773378208,3.5125231742858887,0.0479326840159241,2,3,0.3,0.01,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
18.45274124145508,0.9458052452422161,3.154085397720337,0.024957180281933024,2,3,0.3,0.1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 0.1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
18.311364603042602,1.4605620126673806,2.998852252960205,0.10342466767555358,2,3,0.3,1.0,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
53.585951232910155,0.9260024142049961,6.0027588367462155,0.4190332254639999,2,3,0.5,0.01,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 0.01}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
44.111931037902835,1.8062165918710649,4.9098786354064945,0.041598945690444464,2,3,0.5,0.1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 0.1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
42.33221445083618,1.2200734425945878,5.266826534271241,0.5284014264997879,2,3,0.5,1.0,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
18.156140089035034,0.4098401983365444,3.9090954303741454,0.6486566889107469,2,5,0.3,0.01,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
18.409052228927614,0.7045916992350856,3.0089876651763916,0.10966600423871427,2,5,0.3,0.1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 0.1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
17.034131002426147,1.6854727512914656,3.2211799144744875,0.507385925127774,2,5,0.3,1.0,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
52.213207721710205,2.2943526467800366,5.80654010772705,0.060918501692612266,2,5,0.5,0.01,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 0.01}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
43.06016755104065,1.0320923061667875,5.163097381591797,0.4958416008540261,2,5,0.5,0.1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 0.1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
45.09897122383118,1.6114742521933394,4.872463083267212,0.08869721434459615,2,5,0.5,1.0,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
59.437277698516844,0.9463022195281068,8.618927097320556,0.14422390798862877,3,3,0.3,0.01,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
65.75955815315247,1.9900315452894468,7.631943082809448,0.3899415557352621,3,3,0.3,0.1,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 0.1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
58.73693871498108,1.8571390382457291,7.887777423858642,0.46722095774795674,3,3,0.3,1.0,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.2088698140200286,0.20916905444126074,0.2163323782234957,0.18911174785100288,0.19484240687679083,0.2036650802825158,0.010074546866537498,1
