mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12214484214782714,0.009364860055934282,0.22984442710876465,0.005801146689420209,3,2,3,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.37625178826895567,0.36103151862464183,0.36962750716332377,0.37106017191977075,0.37106017191977075,0.3698062315792926,0.004933912517424618,13
0.1353902816772461,0.004784396609664251,0.26266794204711913,0.006955895571558421,3,2,3,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.40486409155937053,0.3968481375358166,0.42406876790830944,0.4054441260744986,0.40830945558739257,0.4079069157330776,0.008932952380250027,6
0.13271937370300294,0.00975621347076668,0.22352442741394044,0.0041944504922552224,3,2,5,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.3648068669527897,0.3753581661891118,0.3839541547277937,0.3667621776504298,0.3510028653295129,0.3683768461699276,0.011032665021643509,14
0.12935986518859863,0.00715089129212363,0.2558163642883301,0.0030119598504846213,3,2,5,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.41201716738197425,0.41117478510028654,0.4197707736389685,0.3982808022922636,0.40257879656160456,0.4087644649950194,0.007559076973111505,5
0.15999369621276854,0.023058080699102663,0.4205935001373291,0.010010328556187182,3,3,3,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.36623748211731044,0.3510028653295129,0.3653295128939828,0.3638968481375358,0.35816618911174786,0.360926579518018,0.005701120291567502,16
0.18750467300415039,0.0199565544313152,0.47942342758178713,0.010506516660976573,3,3,3,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.39198855507868385,0.37822349570200575,0.4154727793696275,0.39255014326647564,0.39255014326647564,0.39415702333665364,0.011984199095868217,9
0.15858826637268067,0.01836994026243318,0.4243025779724121,0.006288960963428651,3,3,5,0.3,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.35765379113018597,0.3753581661891118,0.38108882521489973,0.35959885386819485,0.34813753581661894,0.36436743444380226,0.012096471140909401,15
0.1899385929107666,0.02475251299315087,0.48984084129333494,0.012628552132260273,3,3,5,0.5,"{'knn__n_neighbors': 3, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.4062947067238913,0.40257879656160456,0.41260744985673353,0.3868194842406877,0.3939828080229226,0.40045664908116796,0.009100673265092238,7
0.12183923721313476,0.008466805203920033,0.2302379608154297,0.0015117096990263667,5,2,3,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.4034334763948498,0.38968481375358166,0.4140401146131805,0.3753581661891118,0.4040114613180516,0.39730560645375507,0.013433760890852275,8
0.14479994773864746,0.030836168053341988,0.26684985160827634,0.0048767649757728735,5,2,3,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.45779685264663805,0.4369627507163324,0.4785100286532951,0.4383954154727794,0.45415472779369626,0.4531639550565482,0.015135769560742005,1
0.1220470905303955,0.0072213171105275165,0.22586503028869628,0.0028026604175363182,5,2,5,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.3748211731044349,0.3997134670487106,0.4140401146131805,0.39255014326647564,0.37965616045845274,0.3921562116982508,0.014092035632577927,11
0.14598469734191893,0.024900255552045666,0.2658565044403076,0.004878019037303364,5,2,5,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.45779685264663805,0.44269340974212035,0.46275071633237824,0.43123209169054444,0.45272206303724927,0.449439026689786,0.011267905693568205,2
0.1828066349029541,0.041044646633429785,0.6663633346557617,0.4762673997353506,5,3,3,0.3,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.40486409155937053,0.38825214899713467,0.40974212034383956,0.37392550143266473,0.39111747851002865,0.39358026816860764,0.012722375393770817,10
0.1999141216278076,0.03417275915735691,0.5129363536834717,0.019958301861067416,5,3,3,0.5,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.45350500715307585,0.4326647564469914,0.4699140401146132,0.4326647564469914,0.4369627507163324,0.4451422621756008,0.014572969443083913,3
