mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__k_neighbors,param_smote__sampling_strategy,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.25305819511413574,0.003505023981513326,0.0006561756134033203,1.7226563173424345e-05,3,0.3,gini,4,5,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 5}",,,,,,,,1
0.25257487297058107,0.0038922984204056536,0.0007498741149902343,8.754467908299451e-05,3,0.3,gini,4,5,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 6}",,,,,,,,1
0.6789300441741943,0.8589269564251764,0.0007791519165039062,7.318572759046699e-05,3,0.3,gini,4,6,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 4}",,,,,,,,1
0.25432529449462893,0.018093344637796625,0.0007312297821044922,8.292045997684094e-05,3,0.3,gini,4,6,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 5}",,,,,,,,1
0.25478353500366213,0.007266668856968312,0.0007474422454833984,6.321860934883635e-05,3,0.3,gini,4,6,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 6}",,,,,,,,1
0.2798620223999023,0.00814731519918176,0.0006633758544921875,1.2972775324349938e-05,3,0.3,gini,5,3,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",,,,,,,,1
0.28051252365112306,0.005969271115137044,0.000644683837890625,2.4732638335707883e-05,3,0.3,gini,5,3,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",,,,,,,,1
0.2929871082305908,0.005199977217539557,0.0006562709808349609,1.7179113358328403e-05,3,0.3,gini,5,3,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 6}",,,,,,,,1
0.26784472465515136,0.01156966288399649,0.0006213188171386719,2.9454876224298423e-05,3,0.3,gini,5,4,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 4}",,,,,,,,1
0.2626337051391602,0.004088349521090116,0.000626373291015625,1.8853709496208496e-05,3,0.3,gini,5,4,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5}",,,,,,,,1
