mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_forest__max_depth,param_forest__min_samples_leaf,param_forest__min_samples_split,param_forest__n_estimators,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0663267135620118,0.14701067155519768,0.04390740394592285,0.0018450978004406486,3,3,4,100,2,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.45493562231759654,0.4713467048710602,0.47564469914040114,0.4297994269340974,0.45702005730659023,0.45774930211394904,0.016092101857918952,145
1.5563976764678955,0.3544726598712158,0.042679357528686526,0.002044351953469398,3,3,4,100,2,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.5021459227467812,0.5200573065902578,0.5157593123209169,0.4584527220630373,0.5114613180515759,0.5015753163545138,0.022362408029036458,109
0.9468836307525634,0.11908375944153411,0.038378572463989256,0.0007799971086533138,3,3,4,100,2,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.45493562231759654,0.4699140401146132,0.47421203438395415,0.43123209169054444,0.45415472779369626,0.456889703260081,0.01509508569468987,159
1.2364592552185059,0.12550690667340417,0.039079475402832034,0.0007214442735826368,3,3,4,100,2,5,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.5121602288984263,0.5186246418338109,0.5229226361031518,0.4799426934097421,0.505730659025788,0.5078761718541838,0.015133811690117202,67
2.027243423461914,0.08765801409255337,0.04505562782287598,0.00033043256532981006,3,3,4,100,3,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.43204577968526464,0.497134670487106,0.45415472779369626,0.38108882521489973,0.44126074498567336,0.441136949633328,0.037399596873589645,213
3.1011096477508544,0.8249145919097202,0.04407148361206055,0.0006268935411231897,3,3,4,100,3,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.5121602288984263,0.5286532951289399,0.5286532951289399,0.5,0.5143266475644699,0.5167586933441551,0.01087085670748866,7
2.022056245803833,0.08412466134065534,0.04436259269714356,0.0012360971337836903,3,3,4,100,3,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.44635193133047213,0.45415472779369626,0.44269340974212035,0.36962750716332377,0.4340974212034384,0.4293849994466101,0.030566958655826246,257
2.7714348793029786,0.13253243650758278,0.044771432876586914,0.0009578722589553061,3,3,4,100,3,5,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.5121602288984263,0.5200573065902578,0.5286532951289399,0.49570200573065903,0.5100286532951289,0.5133202979286824,0.010982467786183014,37
2.1708272457122804,0.5915521826144822,0.06023855209350586,0.0009149673035460923,3,3,4,200,2,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.45064377682403434,0.47277936962750716,0.47564469914040114,0.4297994269340974,0.45702005730659023,0.4571774659665261,0.01659354688728683,151
2.576546621322632,0.26390019215168997,0.060366249084472655,0.00033002149470453125,3,3,4,200,2,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.5121602288984263,0.5200573065902578,0.5272206303724928,0.46131805157593125,0.5143266475644699,0.5070165730003156,0.023437209361904222,79
1.9814123153686523,0.20428822990526935,0.06019682884216308,0.0006696650934860297,3,3,4,200,2,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.45064377682403434,0.4699140401146132,0.47564469914040114,0.4269340974212034,0.45415472779369626,0.45545826825878966,0.017058535688487277,167
