mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_forest__max_depth,param_forest__min_samples_leaf,param_forest__min_samples_split,param_forest__n_estimators,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9625382423400879,0.13832348306763265,0.03183822631835938,0.0007296786400198902,3,3,4,100,2,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.44105409153952846,0.4470108695652174,0.4579310344827586,0.425531914893617,0.44866385372714485,0.44403835284165327,0.01072037106016889,207
1.2220616817474366,0.12804752321338086,0.031028318405151366,0.000351055644417161,3,3,4,100,2,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.4448669201520912,0.4311163895486936,0.4466501240694789,0.423841059602649,0.4434782608695652,0.43799055084849553,0.008942592694921718,265
0.9339916706085205,0.11932678407319215,0.031019210815429688,0.0006055888415996615,3,3,4,100,2,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.4422809457579972,0.4487004103967168,0.4584487534626039,0.4263456090651558,0.4477401129943503,0.4447031663353648,0.01055470731022405,195
1.2490094661712647,0.13227111136567818,0.031210803985595705,0.0005435610351051473,3,3,4,100,2,5,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.44582814445828145,0.4304399524375743,0.4451219512195122,0.42948717948717946,0.43905472636815923,0.4379863907941413,0.00696758191515163,271
2.2353712558746337,0.580452361990904,0.034973955154418944,0.001139531754818492,3,3,4,100,3,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.4617737003058104,0.44487179487179485,0.47384155455904337,0.4547008547008547,0.4687975646879756,0.46079709382509576,0.010255715755591113,131
2.640069818496704,0.13630199754074562,0.0364595890045166,0.001454583521902369,3,3,4,100,3,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.44527363184079605,0.4310747663551402,0.44781553398058255,0.43139678615574784,0.44157441574415746,0.4394270268152848,0.006977193444969196,247
1.9426393508911133,0.15069219327942798,0.0338862419128418,0.0005441561606663041,3,3,4,100,3,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.4528301886792453,0.4654919236417034,0.48055987558320373,0.45263157894736844,0.4719626168224299,0.46469523673479013,0.010876097588095395,103
2.898734474182129,0.5900610622005288,0.03426327705383301,0.0005480637689066924,3,3,4,100,3,5,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 100, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5}",0.44527363184079605,0.43009478672985785,0.4489051094890511,0.43522012578616354,0.4422360248447205,0.44034593573811776,0.00681871050365121,235
1.760040521621704,0.20963794359136578,0.04235310554504394,0.0005145262607758752,3,3,4,200,2,3,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3}",0.44428772919605075,0.45081967213114754,0.4573002754820937,0.42796005706134094,0.4512022630834512,0.44631399939081684,0.010058503278931435,179
2.4107576847076415,0.26947513901107256,0.04422507286071777,0.0015383743026340276,3,3,4,200,2,3,0.5,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.44527363184079605,0.4311163895486936,0.44660194174757284,0.4236842105263158,0.44266337854500615,0.43786791044167683,0.0089541599749077,277
2.075821113586426,0.7722321793665448,0.042490673065185544,0.000348985594017068,3,3,4,200,2,5,0.3,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3}",0.44366197183098594,0.45054945054945056,0.4617524339360223,0.4287769784172662,0.4502840909090909,0.4470049851285632,0.010809615929747452,173
