mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20.89238510131836,0.6411951457801118,2.8934276580810545,0.06024037075584396,2,3,0.3,1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
18.18543701171875,2.907810954633324,3.0829028129577636,0.5886694302694766,2,3,0.3,10,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 10}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
21.377080059051515,0.7173552711999388,3.1689890384674073,0.5449177990931846,2,3,0.3,100,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 100}",0.5887096774193549,0.5824561403508772,0.6317991631799164,0.5367647058823529,0.5888888888888889,0.585723715144278,0.030164690749836305,13
44.754715538024904,1.1354512994936186,4.570128870010376,0.11556422606718918,2,3,0.5,1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 1}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
45.06059384346008,1.3107529193466303,4.585192680358887,0.01857622310766414,2,3,0.5,10,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 10}",0.5627240143369175,0.5824561403508772,0.6165413533834586,0.5367647058823529,0.5888888888888889,0.5774750205684991,0.026669039017632363,15
50.055703449249265,2.400291705862938,4.608116292953492,0.5550446215262251,2,3,0.5,100,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5, 'svc__C': 100}",0.4724689165186501,0.4750889679715303,0.5026455026455027,0.4616822429906542,0.48256880733944957,0.47889088749315734,0.013635560746017447,19
17.921950101852417,1.9727923845927,2.781650972366333,0.13334251481710796,2,5,0.3,1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
18.920733404159545,3.034449496431496,2.7746438503265383,0.09769534331730181,2,5,0.3,10,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 10}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
22.44380826950073,1.7146233300030234,3.183368968963623,0.7747473214125071,2,5,0.3,100,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'svc__C': 100}",0.5307443365695793,0.5824561403508772,0.6317991631799164,0.5367647058823529,0.6075949367088608,0.5778718565383173,0.03930249999165869,14
46.31028418540954,1.50757468242475,4.487906122207642,0.08289409189343573,2,5,0.5,1,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 1}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
46.36063117980957,1.246279380474373,4.558081150054932,0.03872646399342457,2,5,0.5,10,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 10}",0.4724689165186501,0.5824561403508772,0.6317991631799164,0.5367647058823529,0.6075949367088608,0.5662167725281314,0.056449985363921894,16
51.32261409759521,1.1774305393164153,4.6367347717285154,0.6156486896594687,2,5,0.5,100,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.5, 'svc__C': 100}",0.4724689165186501,0.4750889679715303,0.5026455026455027,0.4616822429906542,0.48256880733944957,0.47889088749315734,0.013635560746017447,19
58.089404010772704,2.1164565575826133,6.609288263320923,0.8423838997284273,3,3,0.3,1,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 1}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
63.66138110160828,1.4315227851472831,6.08390622138977,0.32034801382825695,3,3,0.3,10,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 10}",0.5887096774193549,0.6293103448275862,0.6317991631799164,0.616822429906542,0.6507177033492823,0.6234718637365363,0.020486054385770086,1
76.8829547405243,2.9441581009735565,6.30914535522461,0.7046688860329839,3,3,0.3,100,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 100}",0.46617915904936014,0.4753199268738574,0.5100548446069469,0.46303501945525294,0.4838709677419355,0.4796919835454706,0.016843592246656297,17
