mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__poly__degree,param_smote__k_neighbors,param_smote__sampling_strategy,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2192533016204834,0.010353486602309765,0.02412714958190918,0.0028792256245119357,2,3,0.3,gini,3,3,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.2097348690032959,0.008963080319794288,0.02162594795227051,0.0036011370600605914,2,3,0.3,gini,3,3,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.20871901512145996,0.0037380127830533593,0.025152015686035156,0.001446537924962043,2,3,0.3,gini,3,4,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 4}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.22766056060791015,0.005826401410751641,0.020880746841430663,0.0015702764804940348,2,3,0.3,gini,3,4,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.2235194206237793,0.006332942946692198,0.02446608543395996,0.00139329144082082,2,3,0.3,gini,3,5,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 4}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.22530007362365723,0.010046763827833571,0.024831581115722656,0.0022107265850943966,2,3,0.3,gini,3,5,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 5}",0.4693295292439372,0.4489208633093525,0.47137150466045274,0.4521497919556172,0.47183098591549294,0.46272053501697047,0.01003683161307492,217
0.2637108325958252,0.013868578470360151,0.021625375747680663,0.0015935917987844979,2,3,0.3,gini,4,3,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",0.5178236397748592,0.4446064139941691,0.5041876046901173,0.4810810810810811,0.49825783972125437,0.48919131585229625,0.02522098288696684,79
0.26235761642456057,0.0034835195227786117,0.020659494400024413,0.001076779829153715,2,3,0.3,gini,4,3,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",0.5178236397748592,0.4446064139941691,0.5041876046901173,0.4810810810810811,0.49825783972125437,0.48919131585229625,0.02522098288696684,79
0.25343546867370603,0.009062911522161106,0.023320817947387697,0.003750536399728951,2,3,0.3,gini,4,4,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 4}",0.5178236397748592,0.4446064139941691,0.5041876046901173,0.4810810810810811,0.49825783972125437,0.48919131585229625,0.02522098288696684,79
0.2659904479980469,0.013986767687619738,0.020879745483398438,0.0012188293186759928,2,3,0.3,gini,4,4,5,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 5}",0.5178236397748592,0.4446064139941691,0.5041876046901173,0.4810810810810811,0.49825783972125437,0.48919131585229625,0.02522098288696684,79
0.23976507186889648,0.0062527064544114,0.021606063842773436,0.002624701725934936,2,3,0.3,gini,4,5,4,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 4, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 4}",0.5178236397748592,0.4446064139941691,0.5041876046901173,0.4810810810810811,0.49825783972125437,0.48919131585229625,0.02522098288696684,79
